gene	cytoband
FBXL22	15q22.31
WDR33	2q14.3
TET1	10q21.3
EIF1B	3p22.1
OR4C11	11q11
C1QBP	17p13.2
ZNF501	3p21.31
KRT2	12q13.13
SPOUT1	9q34.11
EPB42	15q15.2
UGT1A4	2q37.1
FREM2	13q13.3
SLC30A2	1p36.11
ATXN7L1	7q22.3
ZMIZ2	7p13
ZNRD2	11q13.1
PPWD1	5q12.3
C2CD4D	1q21.3
GDPD5	11q13.4
AAAS	12q13.13
RAB14	9q33.2
PRSS3	9p13.3
PARG	10q11.23
CHRNA10	11p15.4
SLC1A2	11p13
KRTAP12-1	21q22.3
ADAMDEC1	8p21.2
CBX1	17q21.32
PLD6	17p11.2
CDKN2C	1p32.3
CHAF1A	19p13.3
RP11-192I24.1	23q13.1
SPANXN1	23q27.3
FCSK	16q22.1
OSBPL7	17q21.32
SLC12A6	15q14
PDE8A	15q25.3
CR1	1q32.2
SAMD13	1p31.1
TPRN	9q34.3
GFM1	3q25.32
AHCTF1	1q44
PPARD	6p21.31
METTL7B	12q13.2
USPL1	13q12.3
IGFALS	16p13.3
GDAP1L1	20q13.12
SYNGR1	22q13.1
RANBP17	5q35.1
LIN7A	12q21.31
CUL4A	13q34
OFD1	23p22.2
GSTZ1	14q24.3
RGS17	6q25.2
PHPT1	9q34.3
EMC9	14q12
SEMA4B	15q26.1
KIF3B	20q11.21
ZC3H4	19q13.32
FIGN	2q24.3
MPEG1	11q12.1
ZNF358	19p13.2
FBXO5	6q25.2
DEUP1	11q21
GPAM	10q25.2
NLRP12	19q13.42
CRIP2	14q32.33
C6orf226	6p21.1
SGK1	6q23.2
ZBED5	11p15.4
MIOS	7p21.3
ZNF281	1q32.1
TMEM33	4p13
SLC1A7	1p32.3
CD164L2	1p36.11
N4BP3	5q35.3
HLA-DOB	6p21.32
ABHD16A	6p21.33
DCUN1D3	16p12.3
NODAL	10q22.1
ITGAX	16p11.2
DLX3	17q21.33
PPP1R12C	19q13.42
MRAS	3q22.3
TP53RK	20q13.12
KLF11	2p25.1
SYT2	1q32.1
LYPD8	1q44
ZSCAN4	19q13.43
FASTK	7q36.1
KYNU	2q22.2
S1PR2	19p13.2
KCNV1	8q23.2
RNF128	23q22.3
GPX4	19p13.3
PLPBP	8p11.23
FBXL13	7q22.1
BORCS8	19p13.11
NRN1	6p25.1
SLC1A5	19q13.32
TRIM55	8q13.1
TSPAN7	23p11.4
TMEM123	11q22.2
GRTP1	13q34
SLC46A3	13q12.3
ZNF329	19q13.43
USP16	21q21.3
CRB2	9q33.3
MRPL23	11p15.5
ZNF597	16p13.3
TAL2	9q31.2
SHTN1	10q25.3
SFRP5	10q24.2
ZNF14	19p13.11
RGS5	1q23.3
DENND6B	22q13.33
SNORC	2q37.1
ZNF345	19q13.12
LTF	3p21.31
ZNF768	16p11.2
CNTNAP4	16q23.1
NDUFB5	3q26.33
TESPA1	12q13.2
TMCO1	1q24.1
KRT71	12q13.13
STRIP1	1p13.3
C3orf84	3p21.31
RFK	9q21.13
GYPC	2q14.3
BNIP5	6p21.31
SLC14A1	18q12.3
BAD	11q13.1
TPSAB1	16p13.3
GRAMD2A	15q23
LNPEP	5q15
AP5M1	14q22.3
TOM1L2	17p11.2
UBE2O	17q25.1
ECHS1	10q26.3
KDM4D	11q21
ZNF445	3p21.31
COMMD9	11p13
SDR16C5	8q12.1
FLYWCH1	16p13.3
CCDC22	23p11.23
NT5C1A	1p34.2
ALK	2p23.2
PACSIN1	6p21.31
ZNF75D	23q26.3
TMEM81	1q32.1
COLCA2	11q23.1
KIF1A	2q37.3
SNAPC5	15q22.31
SOX18	20q13.33
EPHA6	3q11.2
USP48	1p36.12
PTTG1IP	21q22.3
TMEM88B	1p36.33
MT1E	16q13
RBM23	14q11.2
SEMA3G	3p21.1
NKG7	19q13.41
GRB14	2q24.3
H4C2	6p22.2
ABLIM3	5q32
PGBD3	10q11.23
GPR132	14q32.33
MFF	2q36.3
CDH16	16q22.1
CYREN	7q33
PARP15	3q21.1
ZNF154	19q13.43
RBM45	2q31.2
LRRK2	12q12
MFSD4A	1q32.1
TCERG1L	10q26.3
OR8D1	11q24.2
COPZ2	17q21.32
PGM5	9q21.11
PRICKLE4	6p21.1
CCDC28A	6q24.1
CBX8	17q25.3
ABHD12B	14q22.1
UCN2	3p21.31
SLC27A4	9q34.11
LHFPL4	3p25.3
SUDS3	12q24.23
SIGLEC14	19q13.41
ZBTB11	3q12.3
OR52B2	11p15.4
LPAR6	13q14.2
CES5A	16q12.2
FERMT2	14q22.1
RIN2	20p11.23
KANK2	19p13.2
TEKT2	1p34.3
ATP6V1E1	22q11.21
THUMPD3	3p25.3
POFUT2	21q22.3
GIMAP7	7q36.1
CD276	15q24.1
SZT2	1p34.2
OSCP1	1p34.3
GTF2A1L	2p16.3
KHDC3L	6q13
ARL4A	7p21.3
SYNJ2	6q25.3
FNIP1	5q31.1
IPO5	13q32.2
EIF4ENIF1	22q12.2
ATP5ME	4p16.3
KIF7	15q26.1
RTF2	20q13.31
CCDC27	1p36.32
IRF3	19q13.33
NOL9	1p36.31
PRRT3	3p25.3
ARIH1	15q24.1
POGLUT1	3q13.33
ANKRD29	18q11.2
TPGS1	19p13.3
DEDD	1q23.3
GPR171	3q25.1
TBXT	6q27
SMG8	17q22
ANO2	12p13.31
ZNF184	6p22.1
OR10C1	6p22.1
C11orf91	11p13
FGF7	15q21.2
TP53I13	17q11.2
GAST	17q21.2
GSTA4	6p12.2
GCH1	14q22.2
EPOP	17q12
SLAMF9	1q23.2
CHTOP	1q21.3
PLB1	2p23.2
RARA	17q21.2
PLK5	19p13.3
MBD3L1	19p13.2
PLPPR5	1p21.3
MRPS6	21q22.11
OR52L1	11p15.4
TTBK2	15q15.2
ATXN1	6p22.3
IL12RB2	1p31.3
WASHC1	9p24.3
AL136097.1	9q22.31
UPF1	19p13.11
ZNF630	23p11.23
SFXN1	5q35.2
HACE1	6q16.3
TSC22D2	3q25.1
CHODL	21q21.1
H2AC11	6p22.1
DMRT2	9p24.3
PLIN3	19p13.3
EXOC4	7q33
RXYLT1	12q14.2
HBZ	16p13.3
ZNF362	1p35.1
PSMD10	23q22.3
ATP10B	5q34
PRMT8	12p13.32
BCAS3	17q23.2
ZNF75A	16p13.3
PLPP3	1p32.2
FGF2	4q28.1
ST14	11q24.3
BCR	22q11.23
AC009950.1	2q37.1
THRAP3	1p34.3
TRPS1	8q23.3
BARD1	2q35
SLCO1B7	12p12.2
CCNB1IP1	14q11.2
COL16A1	1p35.2
NDUFA4	7p21.3
ULK4	3p22.1
FAM135A	6q13
MUC12	7q22.1
MBD3L4	19p13.2
IKZF3	17q21.1
C2orf50	2p25.1
PIP5KL1	9q34.11
KRT35	17q21.2
RNF225	19q13.43
C2CD4A	15q22.2
CENPVL1	23p11.22
RHOT1	17q11.2
ZNF230	19q13.31
PEX5	12p13.31
CDKL5	23p22.13
MTX2	2q31.1
PIWIL3	22q11.23
KNSTRN	15q15.1
TMPRSS3	21q22.3
ANO10	3p22.1
OR10AD1	12q13.11
KCNK6	19q13.2
MAGEB3	23p21.2
SMIM10L2A	23q26.3
SOST	17q21.31
PPP2R5A	1q32.3
PGS1	17q25.3
TRMT13	1p21.2
CDR1	23q27.1
SLC39A13	11p11.2
KAT14	20p11.23
CHST4	16q22.2
ZNF460	19q13.43
CNGA4	11p15.4
ZNF71	19q13.43
FGFR2	10q26.13
APMAP	20p11.21
ARGLU1	13q33.3
ATP6V0E2	7q36.1
OR2AE1	7q22.1
C11orf65	11q22.3
PHLPP2	16q22.2
PRR22	19p13.3
INSYN2B	5q35.1
SMARCA2	9p24.3
PARD3	10p11.21
FAP	2q24.2
SDF2L1	22q11.21
AC012005.2	24q11.23
CWC15	11q21
ARL17A	17q21.31
CHRNG	2q37.1
C5orf46	5q32
CCL24	7q11.23
PRDX3	10q26.11
DISP3	1p36.22
ARHGEF10	8p23.3
TMEM63C	14q24.3
CFAP44	3q13.2
SCGB3A1	5q35.3
SOX3	23q27.1
CEP126	11q22.1
SLC4A3	2q35
RTP2	3q27.3
RNF34	12q24.31
PIN1	19p13.2
GATM	15q21.1
TRAP1	16p13.3
NOX5	15q23
TSEN34	19q13.42
NDUFS5	1p34.3
NALF1	13q33.3
SH3GL1	19p13.3
LCE1E	1q21.3
C1GALT1	7p21.3
DMTN	8p21.3
TAS2R8	12p13.2
BCS1L	2q35
CCDC105	19p13.12
TMEM242	6q25.3
EIF3H	8q24.11
SFRP4	7p14.1
CFAP47	23p21.1
MSMB	10q11.22
CDH23	10q22.1
SBNO1	12q24.31
FAM83E	19q13.33
VPS9D1	16q24.3
KRTAP9-6	17q21.2
NPR1	1q21.3
CYP27C1	2q14.3
BMP4	14q22.2
KCNN2	5q22.3
GBE1	3p12.2
MSH3	5q14.1
MRPL33	2p23.2
MRPL46	15q25.3
POLR2J	7q22.1
MPPE1	18p11.21
BRDT	1p22.1
ARL8B	3p26.1
TIMP4	3p25.2
TAF9	5q13.2
PLAC8L1	5q32
BPI	20q11.23
LEPR	1p31.3
C17orf64	17q23.2
NINL	20p11.21
DUSP10	1q41
MYD88	3p22.2
TTC6	14q21.1
LCE4A	1q21.3
CYBRD1	2q31.1
BHMT2	5q14.1
KRT77	12q13.13
DHX16	6p21.33
OR6X1	11q24.1
LINC02694	15q14
ITPRIPL2	16p12.3
RAB40B	17q25.3
GFRA4	20p13
GDPD2	23q13.1
SPTBN1	2p16.2
FAM8A1	6p22.3
CCNA1	13q13.3
SMNDC1	10q25.2
MOCS3	20q13.13
NEGR1	1p31.1
RSPH10B2	7p22.1
SLIRP	14q24.3
RGR	10q23.1
DIPK1A	1p22.1
OR2D2	11p15.4
RAB27A	15q21.3
SLC35F2	11q22.3
PYURF	4q22.1
BTBD3	20p12.2
SLC39A8	4q24
CLEC12B	12p13.2
L3MBTL4	18p11.31
ADCK5	8q24.3
KRTAP24-1	21q22.11
USP36	17q25.3
PAPOLA	14q32.2
TRMT9B	8p22
MRPS14	1q25.1
CKAP5	11p11.2
FOXO6	1p34.2
PTGFR	1p31.1
CACNA1A	19p13.13
CMTM7	3p22.3
WDR93	15q26.1
MRPL16	11q12.1
E2F4	16q22.1
SLC50A1	1q22
COL4A3	2q36.3
PSG7	19q13.31
MBNL3	23q26.2
KRTAP6-1	21q22.11
MBOAT4	8p12
FSD1	19p13.3
TP53TG3F	16p11.2
RFC3	13q13.2
OSBPL6	2q31.2
RNASE8	14q11.2
PEX11A	15q26.1
ABCB10	1q42.13
ZNF587	19q13.43
CCDC144NL	17p11.2
NBPF6	1p13.3
H2AC19	1q21.2
HS3ST6	16p13.3
KRTAP10-6	21q22.3
MCTP2	15q26.2
RPL7L1	6p21.1
KICS2	12q14.2
ZBTB2	6q25.1
IQCF3	3p21.2
CLDN20	6q25.3
CASS4	20q13.31
DRG1	22q12.2
BVES	6q21
SEMG2	20q13.12
RABEPK	9q33.3
TAMM41	3p25.2
ADD1	4p16.3
KCTD16	5q31.3
TCP10L2	6q27
TMEM114	16p13.2
OR6T1	11q24.1
CRYGD	2q33.3
RPL12	9q33.3
INTS14	15q22.31
NTRK2	9q21.33
ENO1	1p36.23
ITGB4	17q25.1
PSMB6	17p13.2
LSP1	11p15.5
BCO2	11q23.1
DAO	12q24.11
IGFN1	1q32.1
C1orf131	1q42.2
PCARE	2p23.2
KCNA7	19q13.33
BTLA	3q13.2
MYH14	19q13.33
ATP6V1G2	6p21.33
GRM2	3p21.2
COQ7	16p12.3
STIMATE	3p21.1
HJV	1q21.1
SCAI	9q33.3
SYT15	10q11.22
CNNM1	10q24.2
PIGZ	3q29
NKX2-8	14q13.3
RRAGA	9p22.1
GTF2F1	19p13.3
KLHDC10	7q32.2
STX1B	16p11.2
E2F3	6p22.3
KCNK10	14q31.3
ZNF286A	17p12
CCDC154	16p13.3
KDELR3	22q13.1
PRAMEF26	1p36.21
PADI6	1p36.13
RAB6B	3q22.1
ADAMTS14	10q22.1
SLFN12	17q12
CMKLR2	2q33.3
TRIP13	5p15.33
SRY	24p11.2
WFDC6	20q13.12
PRMT3	11p15.1
STPG1	1p36.11
NPS	10q26.2
TONSL	8q24.3
PLEKHM1	17q21.31
JMJD1C	10q21.3
GTF2H4	6p21.33
PPM1E	17q22
MAP1B	5q13.2
CBLC	19q13.32
NME8	7p14.1
PDXP	22q13.1
COL14A1	8q24.12
KRT3	12q13.13
HS1BP3	2p24.1
SPIN2A	23p11.21
LHX4	1q25.2
NAPRT	8q24.3
ICAM1	19p13.2
CRISP1	6p12.3
LCORL	4p15.31
UNK	17q25.1
IMMT	2p11.2
EFCAB9	5q35.1
FAM89A	1q42.2
DDX46	5q31.1
OR4K5	14q11.2
HTN1	4q13.3
TBC1D3F	17q12
SORD	15q21.1
PCDHGA11	5q31.3
NDUFAB1	16p12.2
DCAF8	1q23.2
TUBE1	6q21
TIRAP	11q24.2
POMP	13q12.3
C2orf81	2p13.1
TNKS	8p23.1
XPNPEP1	10q25.1
SYNM	15q26.3
PTRH2	17q23.1
ZNF257	19p12
FAR1	11p15.3
GNAO1	16q13
SEP15	1p22.3
LCN8	9q34.3
SLC25A25	9q34.11
LYSMD4	15q26.3
SMARCD2	17q23.3
MYRIP	3p22.1
EBI3	19p13.3
ZFPM2	8q23.1
GUK1	1q42.13
SEPSECS	4p15.2
LARS2	3p21.31
NUDT9	4q22.1
SLU7	5q33.3
ARHGEF7	13q34
GMEB1	1p35.3
SLC2A4	17p13.1
ZBTB40	1p36.12
STMN4	8p21.2
DNAAF1	16q24.1
MIA	19q13.2
ADPRS	1p34.3
SPATA31D1	9q21.32
RBM15B	3p21.2
HACD1	10p12.33
CCDC167	6p21.2
PELI1	2p14
SAP130	2q14.3
S100A10	1q21.3
RNF113A	23q24
ARPP21	3p22.3
GRHPR	9p13.2
ANGEL1	14q24.3
TTC9C	11q12.3
ZNRF2	7p14.3
TAF6L	11q12.3
GOLGA8H	15q13.2
THAP7	22q11.21
FOXR1	11q23.3
TRIML1	4q35.2
FAM231C	1p36.13
ARL6IP5	3p14.1
ST8SIA2	15q26.1
C5orf49	5p15.31
ITGB3	17q21.32
TM7SF3	12p11.23
SYAP1	23p22.2
EPHA10	1p34.3
DCAKD	17q21.31
PAK4	19q13.2
SPANXN4	23q27.3
SLC25A3	12q23.1
NIBAN2	9q34.11
FBXL2	3p22.3
THBS2	6q27
HSF1	8q24.3
LRP6	12p13.2
OXTR	3p25.3
RLN2	9p24.1
DQX1	2p13.1
NAA50	3q13.31
EPB41L2	6q23.2
TMEM270	7q11.23
OR51A7	11p15.4
FUBP1	1p31.1
GALC	14q31.3
EMCN	4q24
QTRT2	3q13.31
VPS53	17p13.3
NARS1	18q21.31
SLC29A4	7p22.1
LTB4R2	14q12
DGCR6	22q11.21
CSDC2	22q13.2
KRR1	12q21.2
LAMB4	7q31.1
GEMIN6	2p22.1
B4GALT7	5q35.3
KLHL13	23q24
OR1K1	9q33.2
INTS13	12p11.23
TIMM17B	23p11.23
RAVER2	1p31.3
TBC1D4	13q22.2
BCAR1	16q23.1
UNC5C	4q22.3
WRNIP1	6p25.2
HS3ST5	6q22.1
UGT1A1	2q37.1
TAS2R38	7q34
SCX	8q24.3
DHRS7	14q23.1
RAB40C	16p13.3
PLEKHF1	19q12
HCN3	1q22
CORO2A	9q22.33
CD9	12p13.31
MEOX2	7p21.2
SLC12A9	7q22.1
KLKB1	4q35.2
TNFRSF10D	8p21.3
SCN4B	11q23.3
FCRLA	1q23.3
BAGE5	22p11.2
PDK3	23p22.11
DSC3	18q12.1
GULP1	2q32.1
HPF1	4q33
TWNK	10q24.31
PRDM16	1p36.32
NR5A2	1q32.1
CDK2AP2	11q13.2
PDE1C	7p14.3
ELN	7q11.23
HNRNPUL2	11q12.3
GJD2	15q14
RAB18	10p12.1
ARHGEF15	17p13.1
ZXDB	23p11.21
TMEFF2	2q32.3
COPS6	7q22.1
C10orf143	10q26.3
ZSWIM3	20q13.12
FBXO33	14q21.1
RPE	2q34
LIN7C	11p14.1
LHB	19q13.33
KLRC2	12p13.2
SLC5A2	16p11.2
ZMAT4	8p11.21
CDKL1	14q21.3
OR2AT4	11q13.4
C3orf62	3p21.31
AGO4	1p34.3
TBCD	17q25.3
ICA1L	2q33.2
FFAR1	19q13.12
MACROD1	11q13.1
DCTN1	2p13.1
AC026348.1	3q13.2
EFCAB2	1q44
PGC	6p21.1
CATSPERG	19q13.2
SLC15A4	12q24.33
ERV3-1	7q11.21
ZNF562	19p13.2
C1QTNF9	13q12.12
MAGED1	23p11.22
FBXL18	7p22.1
RPE65	1p31.3
ERI1	8p23.1
CNOT6	5q35.3
HOXB4	17q21.32
KRTAP1-4	17q21.2
STX3	11q12.1
C14orf180	14q32.33
ASIC1	12q13.12
NT5C1B	2p24.2
ARSB	5q14.1
SMKR1	7q32.1
PIP4K2C	12q13.3
ZKSCAN2	16p12.1
HPS1	10q24.2
TFF2	21q22.3
UGT1A7	2q37.1
CHMP2B	3p11.2
GNGT2	17q21.32
MCL1	1q21.2
VSTM2A	7p11.2
ETFA	15q24.2
COMTD1	10q22.2
GGN	19q13.2
CT45A1	23q26.3
CDH10	5p14.2
NPAP1	15q11.2
BCAS1	20q13.2
NOP58	2q33.1
VPS37C	11q12.2
CYLD	16q12.1
PADI4	1p36.13
RGS16	1q25.3
PIFO	1p13.2
FBXO6	1p36.22
TBC1D5	3p24.3
ZNF34	8q24.3
FCMR	1q32.1
RAB19	7q34
TAS2R31	12p13.2
PPP1R8	1p35.3
MS4A6E	11q12.2
PLEKHG3	14q23.3
FAM174B	15q26.1
SPIC	12q23.2
CDIP1	16p13.3
NKX6-2	10q26.3
ATE1	10q26.13
SEC24C	10q22.2
RCE1	11q13.2
ZSCAN5C	19q13.43
NKRF	23q24
FAM216B	13q14.11
PDLIM1	10q23.33
MMP25	16p13.3
MICB	6p21.33
MACIR	5q21.1
NT5C3A	7p14.3
PLPPR3	19p13.3
RAD17	5q13.2
C1orf146	1p22.1
KIF9	3p21.31
CFAP70	10q22.2
KRT83	12q13.13
SPAST	2p22.3
TMEM45A	3q12.2
CCDC171	9p22.3
NSMCE1	16p12.1
NDUFA7	19p13.2
SPAG9	17q21.33
NOC2L	1p36.33
TMEM176B	7q36.1
CYB5RL	1p32.3
APBB1	11p15.4
ACOD1	13q22.3
SLC35D3	6q23.3
IGF2R	6q25.3
ZC4H2	23q11.2
VWCE	11q12.2
KRT33A	17q21.2
KRIT1	7q21.2
ATP6V1G3	1q31.3
TAF10	11p15.4
SLC35F6	2p23.3
GPRC5C	17q25.1
MIGA1	1p31.1
S100A9	1q21.3
SPRED2	2p14
OR13F1	9q31.1
SLC4A8	12q13.13
FBXL20	17q12
CPSF4	7q22.1
OR2Z1	19p13.2
CFLAR	2q33.1
YIPF1	1p32.3
NMI	2q23.3
GLYATL3	6p12.3
UPF3B	23q24
ELOB	16p13.3
COQ2	4q21.23
IFNA10	9p21.3
DLGAP3	1p34.3
NFYA	6p21.1
REEP1	2p11.2
CSPG4	15q24.2
PAM16	16p13.3
RP5-860F19.8	20p13
PDSS2	6q21
GCNT3	15q22.2
CWC25	17q12
C4orf46	4q32.1
PGAM5	12q24.33
ADAM2	8p11.22
MARCHF1	4q32.3
ANO6	12q12
A2ML1	12p13.31
IMPACT	18q11.2
SOX10	22q13.1
KERA	12q21.33
MT1M	16q13
LGR5	12q21.1
GARIN5A	19q13.33
ZNF581	19q13.42
THEMIS2	1p35.3
SCAP	3p21.31
CPB1	3q24
ADGRG4	23q26.3
ATP8B3	19p13.3
SHOX	23p22.33
MEOX1	17q21.31
CTD-2370N5.3	17q11.2
ZNF341	20q11.22
HSPB1	7q11.23
AP2M1	3q27.1
UBFD1	16p12.2
FGF5	4q21.21
PWWP3B	23q22.3
ABHD14B	3p21.2
CORO1B	11q13.2
MAD2L2	1p36.22
LCE1A	1q21.3
DPM3	1q22
OR6C68	12q13.2
ZFP36L2	2p21
COX7C	5q14.3
UVRAG	11q13.5
MGAM	7q34
MAPKAPK2	1q32.1
SLC46A1	17q11.2
PTPN9	15q24.2
IMP3	15q24.2
ENTR1	9q34.3
ARHGAP15	2q22.3
STK31	7p15.3
ENTPD8	9q34.3
CELSR3	3p21.31
PLA2G7	6p12.3
ZCRB1	12q12
PIK3C2A	11p15.1
ZFHX3	16q22.3
CDV3	3q22.1
YBX2	17p13.1
C17orf78	17q12
SIRT2	19q13.2
EGFL8	6p21.32
ENPP5	6p21.1
MDH2	7q11.23
BPNT2	8q12.1
CEP104	1p36.32
H3C14	1q21.2
BANK1	4q24
MEF2C	5q14.3
AGXT	2q37.3
ST18	8q11.23
TERF1	8q21.11
CLOCK	4q12
MS4A7	11q12.2
MON1B	16q23.1
LY6L	8q24.3
CHM	23q21.2
SYN1	23p11.3
MGAT4A	2q11.2
KRTAP17-1	17q21.2
TJP3	19p13.3
DMWD	19q13.32
ELSPBP1	19q13.33
ADH5	4q23
DR1	1p22.1
ATPSCKMT	5p15.2
ARHGEF2	1q22
TEX44	2q37.1
ANKRD45	1q25.1
DNM1L	12p11.21
DDN	12q13.12
EGLN1	1q42.2
SMARCD1	12q13.12
OR4F4	15q26.3
RTCA	1p21.2
CHRNA1	2q31.1
NNT	5p12
TMED6	16q22.1
CFAP57	1p34.2
FCRLB	1q23.3
CCDC177	14q24.1
SLC12A7	5p15.33
IFRD2	3p21.31
RTN4IP1	6q21
NOCT	4q31.1
MGAT4C	12q21.31
SLF2	10q24.31
ECHDC1	6q22.33
GALNT1	18q12.2
PRRC1	5q23.2
RP11-195F19.5	9p13.3
ADGRB2	1p35.2
COL28A1	7p21.3
TMEM14C	6p24.2
CCNY	10p11.21
CYP11B1	8q24.3
OR11L1	1q44
CCR3	3p21.31
GABARAPL1	12p13.2
IL36G	2q14.1
UGGT1	2q14.3
RYK	3q22.2
DPYD	1p21.3
SLC39A7	6p21.32
CISH	3p21.2
CCR2	3p21.31
TAAR2	6q23.2
CA8	8q12.1
DENND10	10q26.11
THG1L	5q33.3
NGB	14q24.3
OGFR	20q13.33
GPR119	23q26.1
ACHE	7q22.1
SCMH1	1p34.2
NLRP10	11p15.4
GNA14	9q21.2
EIF3K	19q13.2
CEP152	15q21.1
MAGOH	1p32.3
ATG4C	1p31.3
SPDL1	5q35.1
SNRNP35	12q24.31
TSPAN14	10q23.1
KBTBD3	11q22.3
SAMHD1	20q11.23
PLPPR4	1p21.3
NUDT13	10q22.2
SIKE1	1p13.2
RPL11	1p36.11
LAMA1	18p11.31
CIAO1	2q11.2
FAM90A26	4p16.1
INO80B	2p13.1
LENEP	1q21.3
RIC8A	11p15.5
HLA-A	6p22.1
SPEM1	17p13.1
CACNG8	19q13.42
ATP5PF	21q21.3
IFIH1	2q24.2
LPAR1	9q31.3
AL049829.1	14q11.2
TIMM8A	23q22.1
MPO	17q22
PTCRA	6p21.1
RBBP4	1p35.1
PLEKHA8	7p14.3
GINM1	6q25.1
RNF217	6q22.31
LRBA	4q31.3
C11orf54	11q21
PROKR2	20p12.3
FAM184B	4p15.31
PAIP2B	2p13.3
LMTK2	7q21.3
PRKG2	4q21.21
DCPS	11q24.2
PLG	6q26
CLDND2	19q13.41
ZNF816	19q13.41
FBXW4	10q24.32
APPL2	12q23.3
ZBTB8A	1p35.1
VTI1A	10q25.2
PIK3CB	3q22.3
SLC9A9	3q24
RHBDF2	17q25.1
SLC25A38	3p22.1
FLOT2	17q11.2
SETD1A	16p11.2
FANCL	2p16.1
AASDH	4q12
PPFIA1	11q13.3
ABCE1	4q31.21
FAM236A	23q13.1
KRT74	12q13.13
MACC1	7p21.1
EDF1	9q34.3
FABP4	8q21.13
B4GALNT2	17q21.32
